序号,项目阶段,模块,"关键字
(表名+问题)","问题描述
(详细报错代码)",优先级,问题类型,问题截图,提出人,跟进人,提出时间,完成时间,问题状态,问题原因,解决方案（记录提交脚本的版本号）,备注说明,补充截图1,补充截图2,补充截图3,补充截图4,补充截图5,补充截图6
236,内部测试,报表,冻结+排序,"1、年度目标录入表：冻结至标题行+【业务产品线】列；按公司、销售区域、销售大区、销售战区、业务产品线、业务员依次排序；
2、月度保底目标录入：冻结至标题行+【业务产品线】列；按公司、销售区域、销售大区、销售战区、业务产品线、业务员依次排序；
3、手工业绩录入表：冻结至标题行+【客户采购合同号】；按销售公司、目标类型、下单日期、销售区域、销售大区、销售战区、产品类型、行业类型、产品、客户、业务员依次排序；
4、子公司目标数据补录表：冻结至标题行+【公司】列；
5、子公司实际数据补录表：冻结至标题行+【公司】列；
6、年度目标滚动计算表：冻结至标题行+【业务产品线】列；按公司、销售区域、销售大区、销售战区、业务产品线、业务员排序；
7、集团周报：冻结至标题行+【产品线】列；
8、销服运营周报/-大区/-大区-战区：冻结至标题行+【产品线】列；按冻结列从左到右依次排序
9、销服运营周报-整体-产品线/-大区-业务产品线/-战区-业务产品线：冻结至标题行+【业务产品线】列；按冻结列从左到右依次排序。",中,优化项,,@佘伟萍,"@刘洋
@赵彦",2026/1/12,,已完成,"1、年度目标录入表：改完
2、月度保底目标录入：改完
3、手工业绩录入表：改完
4、子公司目标数据补录表：改完
5、子公司实际数据补录表：改完
6、年度目标滚动计算表：改完
7、集团周报：改完
8、销服运营周报 改完",,,,,,,,
237,内部测试,报表,调整列位置,"待定：
1、年度目标录入表：【业务产品线】和【业务员】调换位置；
2、年度目标滚动计算表：【业务产品线】和【业务员】调换位置；
3、月度保底目标录入：【业务产品线】和【业务员】调换位置；",低,优化项,,@佘伟萍,,2026/1/12,,未开始,待定,,,,,,,,
238,内部测试,报表,年度目标表内勾稽关系优化,"《年度目标录入表》调整前H1目标=年度目标*0.45，H2目标=年度目标*0.55，目前填报表控制了调整后H1+H2=全年，调整后Q1+Q2+Q3+Q4=全年，调整后M1+M2+…+M12=全年，调整后季度=季度内各月合计，但是没有控制调整后H1/H2=季度合计
调整：H1调整值=Q1调整值+Q2调整值，无需填写；H2同理",高,优化项,,@佘伟萍,@刘洋,2026/1/12,,已完成,"调整后，如需调整，只需要调整季度/月度(只调季度不调月度默认季度内第3个月调整值=季度调整值)，不需要调整H1,H2",,,,,,,,
239,内部测试,dws,dws_标准收入成本模型dws_fin_revenue_cost_df,新增过滤条件：过滤已经被冲销的核算凭证,高,设计未考虑全面,,@吴美琪,@李朝中,2026/1/12,,已解决待复测,,,,,,,,,
240,内部测试,dwd,"dwd_产品测算成本计算
dws_测算成本计算汇总
dm_最高测算成本展示表",中台运行页面报错，由于主键超长，已取消主键，需修改为明细模型，参考截图1、2、3,高,功能调整,,@邵炜杰,@谭程俊,2026/1/12,2026/1/12,已完成,,,,,,,,,
241,内部测试,dwd,dwd_产品单位成本计算模型,dwd_co_product_unit_cost_df任务执行报错：primary key size exceed the limit.,高,开发问题,,@李新莲,@李新莲,2026/1/9,2026/1/9,已完成,,"对于表dwd.dwd_co_product_unit_cost_df
1、拿到表建表语句
2、drop表
3、建表语句primary key改为duplicate key，重新执行",,,,,,,
242,内部测试,报表,产品最高测算成本展示表,无法查询,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/12,2026/1/12,已完成,,,,,,,,,
243,内部测试,dwd,dwd_co_物料价格计算表po_est_unit_price字段问题,"1.dwd_co_物料价格计算表po_est_unit_price字段没有计算结果，但是测试公式中各个数据都应该有数
2.时间戳为空",高,开发问题,,@郑日天,@李朝中,2026/1/12,2026/1/13,已完成,,po_est_unit_price提供计算有值的factory_code和mat_code数据供问题排查,,,,,,,
244,内部测试,报表,工程服务价格填报表跑数后数据库出现多余数据,前端系统没有填这条数据，但是跑数后，数据库中总是存在这条数据,高,开发问题,,@郑日天,@蔡岸榕,2026/1/12,2026/1/13,已解决待复测,,,,,,,,,
245,内部测试,报表,产品测算成本明细表-单层,因委外金额已经作为物料成本计算，展示字段取消，其余字段逻辑调整,高,功能调整,,@邵炜杰,@蔡岸榕,2026/1/12,2026/1/12,已完成,,,,,,,,,
246,内部测试,dwd,dwd_产品单位成本计算,测试的产品不为【分销】产品线，应按照图中公式计算，但系统计算结果中缺少+subcon_max_amt的部分，计算有误，应该是加上bom_level=0行的subcon_max_amt数据,高,方案调整,,@邵炜杰,@李朝中,2026/1/12,2026/1/13,已完成,,,,,,,,,
247,内部测试,dwd,dwd_产品测算成本计算,"1. 缺少供货比例字段
2. 测算成本计算公式调整",高,"开发问题,功能调整",,@邵炜杰,@谭程俊,2026/1/12,2026/1/13,已完成,调整后两个表之间无法建立有效关联pci_bom_code，外协数据为空@邵炜杰，测试库上业务就是当前BOM中所有产品，都没有外协成本，全都是自制,,,,,,,,
248,内部测试,报表,产品最高测算成本展示表,"1. 字段取数模型调整
2. 查看数据缓慢（数据量大，当前解决方案参考截图2）
3. 增加筛选器",高,"方案调整,功能调整",,@邵炜杰,@蔡岸榕,2026/1/12,2026/1/14,已解决待复测,,数据查看缓慢问题：报表设计中，勾选【点击查询前不显示报表内容】,,,,,,,
249,内部测试,dws,dws_测算成本计算汇总,功能上可以从dwd筛选出所需数据，主要用于前台报表展示，与技术沟通后认为可以删除改dws模型,高,功能调整,,@邵炜杰,@谭程俊,2026/1/12,2026/1/13,已取消,,,,,,,,,
250,内部测试,dws,dws_存量明细模型+逻辑调整,【订单行库存标识】和【库存状态】之前给的逻辑不对，重新调整,高,功能调整,,@陈迎颖,@李朝中@谭程俊,2026/1/12,2026/1/13,已完成,,,,,,,,,
251,内部测试,dws,dws_存量明细模型+补充字段,补充币种字段,高,功能调整,,@陈迎颖,@谭程俊,2026/1/13,,已完成,,,,,,,,,
252,内部测试,ods,物料主数据,ods_sap_erp_zzmara_df 数据量对不上,,开发问题,,@李新莲,@谭程俊,2026/1/13,,未开始,,,,,,,,,
253,内部测试,ods,产品/模组类型,ods_sap_erp_zpp019m_df 数据量对不上,,源系统数据质量,,@李新莲,@李朝中,2026/1/13,,未开始,数据采集空格处理导致主键冲突,,,,,,,,
254,内部测试,ods,ZPP019 生产任务单 表头,ods_sap_erp_zpp019_h_df 数据量对不上,高,源系统数据质量,,@李新莲,@李朝中,2026/1/13,,未开始,数据采集空格处理导致主键冲突,,,,,,,,
255,内部测试,ods,个人（办公地址管理）,SELECT * FROM ods.ods_sap_erp_adrp_df  WHERE persnumber= '0000022768';该行数据的【adrp_uuid-地址UUID】和【langu_crea-语言】与SAP-ERP数据不一致,中,开发问题,,@李新莲,@蔡岸榕,2026/1/13,,未开始,,,,,,,,,
256,内部测试,ods,个人/地址分配 (业务地址服务),SELECT * FROM ods.ods_sap_erp_adcp_df WHERE persnumber= '0000022768';该行数据的【adrp_uuid-地址UUID】与SAP-ERP数据不一致,中,开发问题,,@李新莲,@蔡岸榕,2026/1/13,,未开始,,,,,,,,,
257,内部测试,ods,分配用户名称地址码,SELECT * FROM ods.ods_sap_erp_usr21_df  WHERE bname='0001' ;该行数据的【identity_guid-GUID统一】与SAP-ERP数据不一致,中,开发问题,,@李新莲,@蔡岸榕,2026/1/13,,未开始,,,,,,,,,
258,内部测试,dm,dm_产品最高测算成本展示表,由于dws取消，dm源表和关联条件更新，字段取数逻辑更新,高,功能调整,,@邵炜杰,@谭程俊,2026/1/13,2026/1/13,已完成,,,,,,,,,
259,内部测试,ods,订单抛转信息,ods_sap_erp_zsd068va_df 审计字段不是规范的 insert_dt,低,开发问题,,@李新莲,@李朝中,2026/1/13,2026/1/13,已完成,,,类似问题可在问题描述中添加表名或者任务名，截图copy不灵活，方便定位,,,,,,
260,内部测试,ods,权限,参考其它数据源，分配租户管理员权限，看下正式环境是否也需要处理下,低,无,,@饶嘉璇,@赵彦,2026/1/13,,已解决待复测,,,,,,,,,
261,内部测试,报表,年度目标录入表+添加校验,年度目标录入表 添加校验：【调整后】必须>=0,中,优化项,,@陈迎颖,@刘洋,2026/1/13,,已完成,,,,,,,,,
262,内部测试,报表,周报下钻及返回传参逻辑,【销售大区】下钻【销售战区】或回退【销售区域】都需要带上【销售区域、销售大区】的参数，目前仅联动了销售战区，回退的数据范围不对；比如：国内→华东→华东各省，取消选择【华东】回退时会展示国内+国际所有,高,开发问题,,@佘伟萍,@刘洋,2026/1/13,,已解决待复测,,,,,,,,,
263,内部测试,报表,主数据-各系统账号信息填报表调整修改,"1.【姓名】改为【系统账号名称】
2.账号信息合并单元格有误
3.账号管理信息的框线影响美观去掉
4.导入后报错，“SLW账号（不能为空）”
5.导入并跑数后数据库无对应数据
6.筛选器筛选账号类型字段不显示对应的账号",高,开发问题,,@郑日天,@蔡岸榕,2026/1/13,2026/1/13,已完成,,,,,,,,,
264,内部测试,dm,dm_产品最高测算成本展示表,筛选条件更新,高,"方案理解问题,功能调整",,@邵炜杰,@谭程俊,2026/1/13,2026/1/13,已完成,,,,,,,,,
265,内部测试,报表,价格系数与额外质保比例填报表,最终方案及计算逻辑确认，原填报表逻辑和字段调整,高,方案调整,,@邵炜杰,@蔡岸榕@赵彦,2026/1/13,,暂挂,,,,,,,,,
266,内部测试,报表,Sparts市场价与系数填报表,最终方案及计算逻辑确认，原填报表逻辑和字段调整,高,方案调整,,@邵炜杰,@蔡岸榕,2026/1/13,,未开始,,,,,,,,,
267,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@蔡岸榕,2026/1/13,,未开始,,,,,,,,,
268,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@谭程俊,2026/1/13,,已解决待复测,,,,,,,,,
269,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@刘洋,2026/1/13,,未开始,,,,,,,,,
270,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@赵彦,2026/1/13,,已解决待复测,,,,,,,,,
271,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@李朝中,2026/1/13,,已解决待复测,,,,,,,,,
272,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@李新莲,2026/1/13,2026/1/13,已解决待复测,,,,,,,,,
273,系统开发,系统,数据库对象开发规范,"参考""数据库对象规范检查""sheet页
数据库对象规范检查 ",高,标准化,,@赵彦,@饶嘉璇,2026/1/13,2026/1/13,已解决待复测,,,,,,,,,
274,内部测试,dwd,dwd_产品单位成本计算,新增一张后台表，将每个测算的过程值存放进去，用于数据核对,高,功能调整,,@邵炜杰,@李朝中,2026/1/13,,已完成,,"@邵炜杰
dwd.dwd_co_product_unit_cost_df_view:存储计算依赖的源因子分子分母",,,,,,,
275,内部测试,报表,主数据-各系统账号信息填报表调整修改,"1.不可填写的部分与可填写部分需要不同颜色区分
2.账号类型字段直接存在MYSql即可，实现实时显示
3.【员工状态（HLY专用）】、【是否供应商（MES专用）】、【员工状态（EAM专用）】三个字段的值改为字符串而不是数值，且字段名的引号去掉",高,开发问题,,@郑日天,"@蔡岸榕
@赵彦",2026/1/13,,已解决待复测,,,,,,,,,
276,内部测试,dwd,dwd_产品测算成本计算,字段取数错误,高,开发问题,,@邵炜杰,@谭程俊,2026/1/13,,已完成,,,,,,,,,
277,内部测试,ods,客户主记录伙伴功能,SELECT * FROM ods.ods_sap_erp_knvp_df  WHERE kunnr= '0000001000' ;该条件查出来的数据，【parvw-合作伙伴功能】与SAP-ERP数据不一致。重新执行后也不一致,中,开发问题,,@李新莲,@李新莲,2026/1/13,2026/1/15,已完成,"1、重新执行,数据也不一致，图1
2、数据工厂查询和ODS表数据一致，图2
3、SAP前台应用了转换逻辑,如图3",,,,,,,,
278,内部测试,ods,城市的值集,SELECT * FROM ods.ods_sap_erp_t005h_df  WHERE cityc= 'A01' AND mandt='800' ;该条件查出来的数据，【spras-语言代码】与SAP-ERP数据不一致。重新执行后也不一致,中,开发问题,,@李新莲,@李新莲,2026/1/13,2026/1/15,已完成,"SAP前台应用了转换逻辑,如图2",,,,,,,,
279,内部测试,ods,地区的值集,SELECT * FROM ods.ods_sap_erp_t005u_df WHERE bland= '00' AND mandt='800' ;该条件查出来的数据，【spras-语言代码】与SAP-ERP数据不一致。重新执行后也不一致,中,开发问题,,@李新莲,@李新莲,2026/1/13,2026/1/15,已完成,"SAP前台应用了转换逻辑,如图2",,,,,,,,
280,内部测试,ods,县的值集,SELECT * FROM ods.ods_sap_erp_t005f_df  WHERE regio= '001'AND mandt='800' AND counc='101';该条件查出来的数据，【spras-语言代码】与SAP-ERP数据不一致。重新执行后也不一致,中,开发问题,,@李新莲,@李新莲,2026/1/13,2026/1/15,已完成,"SAP前台应用了转换逻辑,如图2",,,,,,,,
281,内部测试,ods,物料描述,SELECT * FROM ods.ods_sap_erp_makt_df WHERE matnr= '000000000020250329';该条件查出来的数据，【spras-语言代码】与SAP-ERP数据不一致。,中,开发问题,,@李新莲,@蔡岸榕,2026/1/14,,未开始,,,,,,,,,
282,内部测试,ods,科目主数据,SELECT * FROM ods.ods_sap_erp_skat_df WHERE saknr= '0000000100';该条件查出来的数据，【spras-语言代码】与SAP-ERP数据不一致。,中,开发问题,,@李新莲,@谭程俊,2026/1/14,2026/1/14,已完成,一样的，sap会转换,,,,,,,,
283,内部测试,ods,采购信息记录 - 一般数据,"SELECT meins,lmein,T.* FROM ods.ods_sap_erp_eina_df T WHERE infnr= '5300000000';该条件查出来的数据，【meins-采购订单的计量单位】,【lmein-基本计量单位】与SAP-ERP数据不一致。",中,开发问题,,@李新莲,@蔡岸榕,2026/1/14,,未开始,,,,,,,,,
284,,dwd,dwd_价格缺失物料信息,没有将dwd的缺失价格数据取进模型,高,开发问题,,@邵炜杰,@谭程俊,2026/1/14,2026/1/14,已解决待复测,,,,,,,,,
285,内部测试,报表,主数据-各系统账号信息状态映射表调整,主数据-各系统账号信息状态映射表，增设【系统】字段筛选器,高,方案调整,,@郑日天,"@蔡岸榕
@赵彦",2026/1/14,,已解决待复测,,,,,,,,,
286,内部测试,ods,采购凭证项目,"SELECT meins,bprme,lmein,T.* FROM ods.ods_sap_erp_ekpo_df T WHERE ebeln= '5000000001' ;该条件查出来的数据，【meins-采购订单单位】,【lmein-基本计量单位】，【bprme-订单价格单位】与SAP-ERP数据不一致。",中,开发问题,,@李新莲,@蔡岸榕,2026/1/14,,未开始,,,,,,,,,
287,内部测试,ods,STKO【BOM表头】,SELECT * FROM ods.ods_sap_erp_stko_df  WHERE stlnr= '00000001';该条件查出来的数据，【guidx-BOM抬头更改状态全局标识】与SAP-ERP数据不一致。,中,开发问题,,@李新莲,@谭程俊,2026/1/14,2026/1/14,已完成,二进制转十六进制字符串,采集字段加HEX(guidx)解决,,,,,,,
288,内部测试,ods,产品/模组类型,SELECT * FROM ods.ods_sap_erp_zpp019m_df  WHERE bstnk= '12345';【zarea-总面积】与SAP-ERP数据不一致，小数位少了。同时检查下其他数值字段的精度,中,开发问题,,@李新莲,@李朝中,2026/1/14,2026/1/14,已完成,浮点数类型字段精度问题,,,,,,,,
289,内部测试,ods,HR 主记录: 信息类型 0002 (人员数据),"SELECT sprsl,T.* FROM ods.ods_sap_erp_pa0002_df  T WHERE pernr= '00000001';【sprsl-通讯语言】与SAP-ERP数据不一致",中,无,,@李新莲,@李朝中,2026/1/14,2026/1/14,已完成,,与数据源库表数据一致，不是数据采集问题,,,,,,,
290,内部测试,ods,渠道新抛转：销售订单抛转信息,SELECT * FROM ods.ods_sap_erp_zsd124va_df  WHERE ovbeln= '0000107756';【ip_rate-价格比】与SAP-ERP数据不一致，小数位少了。同时检查下其他数值字段的精度,中,开发问题,,@李新莲,@李朝中,2026/1/14,2026/1/14,已完成,浮点数类型字段精度问题,,,,,,,,
291,内部测试,报表,填报控制,"《周计划录入表》增加控制：历史周已录入数据不可修改
判断日期筛选器日期所在周数<系统日期所在周数时整表不可填，只读",中,优化项,,@佘伟萍,@刘洋,2026/1/14,,暂挂,,,,,,,,,
292,内部测试,报表,产品最高测算成本展示表调整,高亮设置，应该高亮几个测算成本中最高的测算成本,高,开发问题,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/14,,已解决待复测,,,,,,,,,
293,内部测试,报表,产品测算成本展示表数据未录入,CIP00-Y0000540编码应该是有数据的但是显示是0,高,开发问题,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/14,,已解决待复测,,,,,,,,,
294,内部测试,报表,产品测算成本明细表重复数据,该表跳转后存在重复数据,高,开发问题,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/14,,暂挂,可能是中台数据模型问题,,,,,,,,
295,内部测试,dwd,dwd_物料价格计算,仅针对BOM中使用的物料和替代规则中使用的物料，才需要进行价格的计算，新增源表和筛选条件,高,功能调整,,@邵炜杰,@李朝中,2026/1/15,,已解决待复测,,,,,,,,,
296,内部测试,报表,主数据-各系统账号信息填报表错误,"1.【系统账号名称】字段错误，录入的是账号
2.【账号】字段的值改为字符串而不是数值，没有小数点后两位",高,开发问题,,@郑日天,"@蔡岸榕
@赵彦",2026/1/15,,已完成,,,,,,,,,
297,内部测试,报表,dwd_各系统用户展示表、ods_bi_主数据-各系统账号信息填报表增设字段,dwd_各系统用户展示表、ods_bi_主数据-各系统账号信息填报表（ods_bi_report_mdm_account_info_submit_df）统一增设字段【映射工号】，逻辑已在各表单中存放,高,方案调整,,@郑日天,@谭程俊,2026/1/15,2026/1/15,已解决待复测,,,,,,,,,
298,内部测试,报表,主数据-各系统账号信息填报表修改调整,SRM系统的【企业slw账号（SRM专用）】、【账号】字段改为字符串而不是数值（没有小数位数）,高,开发问题,,@郑日天,"@蔡岸榕
@赵彦",2026/1/15,,已完成,,,,,,,,,
299,内部测试,报表,主数据-各系统账号信息填报表及其后台表增设字段,主数据-各系统账号信息填报表增设字段【映射工号】，逻辑已在各表单中存放,高,方案调整,,@郑日天,"@蔡岸榕
@赵彦",2026/1/15,,未开始,,,,,,,,,
300,内部测试,dm,dm_周报实际数,新增半年累计实际部分指标，用于后续目标值滚动计算使用,高,设计未考虑全面,,@吴美琪,@谭程俊,2026/1/15,,已完成,,,,,,,,,
301,内部测试,报表,Sparts市场价与系数填报表,商设维护Spart对应的原材料毛利系数，不按照Spart编码维护毛利系数，原报表字段调整、取数逻辑调整,高,方案调整,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/15,,未开始,,,,,,,,,
302,内部测试,ods,制费率填报表,ods表缺少字段【product_mcm_type】,高,开发问题,,@邵炜杰,@李新莲,2026/1/15,,已完成,,,,,,,,,
303,内部测试,dwd,dwd_产品成本计算参数,2020工厂数据未正确获取,高,"开发问题,功能调整",,@邵炜杰,@李朝中,2026/1/15,,已完成,主键冲突，随机取数导致数据错误,增加取供货比例的筛选条件,,,,,,,
304,内部测试,dwd,dwd_业绩分配比例,对于数据为空格的字段转换为'',高,源系统数据质量,,@吴美琪,@谭程俊,2026/1/15,,已完成,,,,,,,,,
305,内部测试,报表,基准价模块所有报表,填报表参考指标录入表设置按钮，所有填报表都需要将上方【增加记录】按钮隐藏,高,功能调整,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/15,2026/1/16,已解决待复测,,,,,,,,,
306,内部测试,报表,产品测算成本明细表,下拉筛选中展示的字段错误，出现了非该产品的替代信息,高,开发问题,,@邵炜杰,"@蔡岸榕
@赵彦",2026/1/15,,未开始,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,
324,内部测试,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
